Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,033059,1945,03,373.0,Y
IDCJAC0001,033059,1945,04,53.6,Y
IDCJAC0001,033059,1945,05,37.4,Y
IDCJAC0001,033059,1945,06,51.3,Y
IDCJAC0001,033059,1945,07,102.4,Y
IDCJAC0001,033059,1945,08,7.6,Y
IDCJAC0001,033059,1945,09,53.1,Y
IDCJAC0001,033059,1945,10,175.1,Y
IDCJAC0001,033059,1945,11,43.2,Y
IDCJAC0001,033059,1945,12,55.4,Y
IDCJAC0001,033059,1946,01,540.5,Y
IDCJAC0001,033059,1946,02,150.9,Y
IDCJAC0001,033059,1946,03,468.3,Y
IDCJAC0001,033059,1946,04,12.7,Y
IDCJAC0001,033059,1946,05,31.2,Y
IDCJAC0001,033059,1946,06,4.1,Y
IDCJAC0001,033059,1946,07,7.4,Y
IDCJAC0001,033059,1946,08,0.0,Y
IDCJAC0001,033059,1946,09,20.1,Y
IDCJAC0001,033059,1946,10,19.3,Y
IDCJAC0001,033059,1946,11,19.4,Y
IDCJAC0001,033059,1946,12,82.0,Y
IDCJAC0001,033059,1947,01,39.3,Y
IDCJAC0001,033059,1947,02,925.8,Y
IDCJAC0001,033059,1947,03,167.3,Y
IDCJAC0001,033059,1947,04,27.5,Y
IDCJAC0001,033059,1947,05,73.1,Y
IDCJAC0001,033059,1947,06,16.1,Y
IDCJAC0001,033059,1947,07,13.0,Y
IDCJAC0001,033059,1947,08,47.6,Y
IDCJAC0001,033059,1947,09,38.3,Y
IDCJAC0001,033059,1947,10,34.6,Y
IDCJAC0001,033059,1947,11,103.1,Y
IDCJAC0001,033059,1947,12,21.3,Y
IDCJAC0001,033059,1948,01,192.3,Y
IDCJAC0001,033059,1948,02,340.4,Y
IDCJAC0001,033059,1948,03,153.4,Y
IDCJAC0001,033059,1948,04,65.6,Y
IDCJAC0001,033059,1948,05,21.1,Y
IDCJAC0001,033059,1948,06,40.0,Y
IDCJAC0001,033059,1948,07,72.8,Y
IDCJAC0001,033059,1948,08,0.0,Y
IDCJAC0001,033059,1948,09,9.7,Y
IDCJAC0001,033059,1948,10,35.9,Y
IDCJAC0001,033059,1948,11,27.2,Y
IDCJAC0001,033059,1948,12,222.5,Y
IDCJAC0001,033059,1949,01,131.2,Y
IDCJAC0001,033059,1949,02,318.8,Y
IDCJAC0001,033059,1949,03,325.1,Y
IDCJAC0001,033059,1949,04,26.8,Y
IDCJAC0001,033059,1949,05,24.1,Y
IDCJAC0001,033059,1949,06,20.6,Y
IDCJAC0001,033059,1949,07,3.8,Y
IDCJAC0001,033059,1949,08,13.4,Y
IDCJAC0001,033059,1949,09,5.6,Y
IDCJAC0001,033059,1949,10,62.3,Y
IDCJAC0001,033059,1949,11,59.4,Y
IDCJAC0001,033059,1949,12,66.8,Y
IDCJAC0001,033059,1950,01,807.2,Y
IDCJAC0001,033059,1950,02,236.2,Y
IDCJAC0001,033059,1950,03,754.8,Y
IDCJAC0001,033059,1950,04,261.4,Y
IDCJAC0001,033059,1950,05,59.4,Y
IDCJAC0001,033059,1950,06,61.2,Y
IDCJAC0001,033059,1950,07,284.1,Y
IDCJAC0001,033059,1950,08,17.2,Y
IDCJAC0001,033059,1950,09,5.1,Y
IDCJAC0001,033059,1950,10,198.2,Y
IDCJAC0001,033059,1950,11,183.9,Y
IDCJAC0001,033059,1950,12,155.9,Y
IDCJAC0001,033059,1951,01,1636.4,Y
IDCJAC0001,033059,1951,02,158.3,Y
IDCJAC0001,033059,1951,03,74.0,Y
IDCJAC0001,033059,1951,04,3.6,Y
IDCJAC0001,033059,1951,05,55.4,Y
IDCJAC0001,033059,1951,06,30.5,Y
IDCJAC0001,033059,1951,07,9.5,Y
IDCJAC0001,033059,1951,08,5.3,Y
IDCJAC0001,033059,1951,09,29.2,Y
IDCJAC0001,033059,1951,10,82.0,Y
IDCJAC0001,033059,1951,11,0.0,Y
IDCJAC0001,033059,1951,12,117.8,Y
IDCJAC0001,033059,1952,01,165.3,Y
IDCJAC0001,033059,1952,02,291.6,Y
IDCJAC0001,033059,1952,03,136.7,Y
IDCJAC0001,033059,1952,04,111.9,Y
IDCJAC0001,033059,1952,05,16.0,Y
IDCJAC0001,033059,1952,06,77.0,Y
IDCJAC0001,033059,1952,07,14.8,Y
IDCJAC0001,033059,1952,08,18.5,Y
IDCJAC0001,033059,1952,09,19.8,Y
IDCJAC0001,033059,1952,10,64.3,Y
IDCJAC0001,033059,1952,11,46.0,Y
IDCJAC0001,033059,1952,12,71.9,Y
IDCJAC0001,033059,1953,01,590.0,Y
IDCJAC0001,033059,1953,02,241.2,Y
IDCJAC0001,033059,1953,03,166.8,Y
IDCJAC0001,033059,1953,04,74.2,Y
IDCJAC0001,033059,1953,05,22.6,Y
IDCJAC0001,033059,1953,06,10.2,Y
IDCJAC0001,033059,1953,07,2.3,Y
IDCJAC0001,033059,1953,08,98.8,Y
IDCJAC0001,033059,1953,09,0.0,Y
IDCJAC0001,033059,1953,10,62.6,Y
IDCJAC0001,033059,1953,11,6.1,Y
IDCJAC0001,033059,1953,12,33.2,Y
IDCJAC0001,033059,1954,01,766.9,Y
IDCJAC0001,033059,1954,02,730.2,Y
IDCJAC0001,033059,1954,03,208.9,Y
IDCJAC0001,033059,1954,04,324.4,Y
IDCJAC0001,033059,1954,05,0.0,Y
IDCJAC0001,033059,1954,06,25.4,Y
IDCJAC0001,033059,1954,07,17.8,Y
IDCJAC0001,033059,1954,08,78.2,Y
IDCJAC0001,033059,1954,09,32.8,Y
IDCJAC0001,033059,1954,10,244.1,Y
IDCJAC0001,033059,1954,11,118.8,Y
IDCJAC0001,033059,1954,12,53.8,Y
IDCJAC0001,033059,1955,01,311.0,Y
IDCJAC0001,033059,1955,02,560.3,Y
IDCJAC0001,033059,1955,03,828.2,Y
IDCJAC0001,033059,1955,04,208.4,Y
IDCJAC0001,033059,1955,05,535.3,Y
IDCJAC0001,033059,1955,06,6.6,Y
IDCJAC0001,033059,1955,07,21.0,Y
IDCJAC0001,033059,1955,08,1.8,Y
IDCJAC0001,033059,1955,09,10.0,Y
IDCJAC0001,033059,1955,10,84.5,Y
IDCJAC0001,033059,1955,11,43.7,Y
IDCJAC0001,033059,1955,12,55.1,Y
IDCJAC0001,033059,1956,01,426.4,Y
